Variant,distribute-collapse,parallel_position,scheduling,collapse,mem_to,mem_from,mem_alloc,mem_delete,LX,LY,LZ,LT,runtime(us)
CPU,none,none,none,1,1952500032,245760000,245760000,1952500032,40,40,40,80,286598
transform1,1,1,static,4,1952500032,245760000,245760000,1952500032,40,40,40,80,827487
transform2,1,1,dynamic,4,1952500032,245760000,245760000,1952500032,40,40,40,80,731186
transform3,1,1,guided,4,1952500032,245760000,245760000,1952500032,40,40,40,80,732272
transform4,1,1,static,3,1952500032,245760000,245760000,1952500032,40,40,40,80,770255
transform5,1,1,dynamic,3,1952500032,245760000,245760000,1952500032,40,40,40,80,779239
transform6,1,1,guided,3,1952500032,245760000,245760000,1952500032,40,40,40,80,774271
transform7,1,1,static,2,1952500032,245760000,245760000,1952500032,40,40,40,80,775242
transform8,1,1,dynamic,2,1952500032,245760000,245760000,1952500032,40,40,40,80,804402
transform9,1,1,guided,2,1952500032,245760000,245760000,1952500032,40,40,40,80,776431
transform10,1,1,static,1,1952500032,245760000,245760000,1952500032,40,40,40,80,1352762
transform11,1,1,dynamic,1,1952500032,245760000,245760000,1952500032,40,40,40,80,1359946
transform12,1,1,guided,1,1952500032,245760000,245760000,1952500032,40,40,40,80,1344162
transform13,1,2,static,3,1952500032,245760000,245760000,1952500032,40,40,40,80,780525
transform14,1,2,dynamic,3,1952500032,245760000,245760000,1952500032,40,40,40,80,781297
transform15,1,2,guided,3,1952500032,245760000,245760000,1952500032,40,40,40,80,774225
transform16,1,2,static,2,1952500032,245760000,245760000,1952500032,40,40,40,80,794160
transform17,1,2,dynamic,2,1952500032,245760000,245760000,1952500032,40,40,40,80,780038
transform18,1,2,guided,2,1952500032,245760000,245760000,1952500032,40,40,40,80,793173
transform19,1,2,static,1,1952500032,245760000,245760000,1952500032,40,40,40,80,806023
transform20,1,2,dynamic,1,1952500032,245760000,245760000,1952500032,40,40,40,80,803937
transform21,1,2,guided,1,1952500032,245760000,245760000,1952500032,40,40,40,80,789987
transform22,1,3,static,2,1952500032,245760000,245760000,1952500032,40,40,40,80,775551
transform23,1,3,dynamic,2,1952500032,245760000,245760000,1952500032,40,40,40,80,784879
transform24,1,3,guided,2,1952500032,245760000,245760000,1952500032,40,40,40,80,796683
transform25,1,3,static,1,1952500032,245760000,245760000,1952500032,40,40,40,80,782946
transform26,1,3,dynamic,1,1952500032,245760000,245760000,1952500032,40,40,40,80,797504
transform27,1,3,guided,1,1952500032,245760000,245760000,1952500032,40,40,40,80,781459
transform28,1,4,static,1,1952500032,245760000,245760000,1952500032,40,40,40,80,766597
transform29,1,4,dynamic,1,1952500032,245760000,245760000,1952500032,40,40,40,80,799275
transform30,1,4,guided,1,1952500032,245760000,245760000,1952500032,40,40,40,80,803722
transform31,2,3,static,2,1952500032,245760000,245760000,1952500032,40,40,40,80,737751
transform32,2,3,dynamic,2,1952500032,245760000,245760000,1952500032,40,40,40,80,759254
transform33,2,3,guided,2,1952500032,245760000,245760000,1952500032,40,40,40,80,759183
transform34,2,3,static,1,1952500032,245760000,245760000,1952500032,40,40,40,80,774482
transform35,2,3,dynamic,1,1952500032,245760000,245760000,1952500032,40,40,40,80,764398
transform36,2,3,guided,1,1952500032,245760000,245760000,1952500032,40,40,40,80,768149
transform37,2,4,static,1,1952500032,245760000,245760000,1952500032,40,40,40,80,728226
transform38,2,4,dynamic,1,1952500032,245760000,245760000,1952500032,40,40,40,80,752343
transform39,2,4,guided,1,1952500032,245760000,245760000,1952500032,40,40,40,80,753702
transform40,3,4,static,1,1952500032,245760000,245760000,1952500032,40,40,40,80,753325
transform41,3,4,dynamic,1,1952500032,245760000,245760000,1952500032,40,40,40,80,755093
transform42,3,4,guided,1,1952500032,245760000,245760000,1952500032,40,40,40,80,756650
